"1","3","20","B, U, N, Q, I, Y, Y","16900","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","3","25","B, U, N, Q, I, Y, Y","35585","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","3","30","B, U, N, Q, I, Y, Y","52900","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","3","35","B, U, N, Q, I, Y, Y","57361","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","3","40","B, U, N, Q, I, Y, Y","57100","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","4","10","B, U, N, Q, I, Y, Y","4005","[QUA]
Q[30] U[1] A[1] * 1 = 32","null, (x, y): = (10, 6), (x, y): = (10, 7)","32","false",
"1","4","15","B, U, N, Q, I, Y, Y","6816","[QUA]
Q[30] U[1] A[1] * 1 = 32","null, (x, y): = (10, 6), (x, y): = (10, 7)","32","false",
"1","4","20","B, U, N, Q, I, Y, Y","29911","[QUINE]
Q[10] U[1] I[1] N[1] E[2] * 2 = 30","null, (x, y): = (3, 13), (x, y): = (4, 13), (x, y): = (5, 13), (x, y): = (6, 13)","30","false",
"1","4","25","B, U, N, Q, I, Y, Y","53496","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","4","30","B, U, N, Q, I, Y, Y","108600","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","4","35","B, U, N, Q, I, Y, Y","119795","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","4","40","B, U, N, Q, I, Y, Y","120370","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","5","10","B, U, N, Q, I, Y, Y","4197","[QUA]
Q[30] U[1] A[1] * 1 = 32","null, (x, y): = (10, 6), (x, y): = (10, 7)","32","false",
"1","5","15","B, U, N, Q, I, Y, Y","6940","[QUA]
Q[30] U[1] A[1] * 1 = 32","null, (x, y): = (10, 6), (x, y): = (10, 7)","32","false",
"1","5","20","B, U, N, Q, I, Y, Y","29946","[QUINE]
Q[10] U[1] I[1] N[1] E[2] * 2 = 30","null, (x, y): = (3, 13), (x, y): = (4, 13), (x, y): = (5, 13), (x, y): = (6, 13)","30","false",
"1","5","25","B, U, N, Q, I, Y, Y","54407","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","5","30","B, U, N, Q, I, Y, Y","127366","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","5","35","B, U, N, Q, I, Y, Y","155605","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","5","40","B, U, N, Q, I, Y, Y","151941","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","6","10","B, U, N, Q, I, Y, Y","4612","[QUA]
Q[30] U[1] A[1] * 1 = 32","null, (x, y): = (10, 6), (x, y): = (10, 7)","32","false",
"1","6","15","B, U, N, Q, I, Y, Y","7477","[QUA]
Q[30] U[1] A[1] * 1 = 32","null, (x, y): = (10, 6), (x, y): = (10, 7)","32","false",
"1","6","20","B, U, N, Q, I, Y, Y","31435","[QUINE]
Q[10] U[1] I[1] N[1] E[2] * 2 = 30","null, (x, y): = (3, 13), (x, y): = (4, 13), (x, y): = (5, 13), (x, y): = (6, 13)","30","false",
"1","6","25","B, U, N, Q, I, Y, Y","56399","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","6","30","B, U, N, Q, I, Y, Y","191069","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","6","35","B, U, N, Q, I, Y, Y","237281","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","6","40","B, U, N, Q, I, Y, Y","235649","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","7","10","B, U, N, Q, I, Y, Y","4751","[QUA]
Q[30] U[1] A[1] * 1 = 32","null, (x, y): = (10, 6), (x, y): = (10, 7)","32","false",
"1","7","15","B, U, N, Q, I, Y, Y","7535","[QUA]
Q[30] U[1] A[1] * 1 = 32","null, (x, y): = (10, 6), (x, y): = (10, 7)","32","false",
"1","7","20","B, U, N, Q, I, Y, Y","31318","[QUINE]
Q[10] U[1] I[1] N[1] E[2] * 2 = 30","null, (x, y): = (3, 13), (x, y): = (4, 13), (x, y): = (5, 13), (x, y): = (6, 13)","30","false",
"1","7","25","B, U, N, Q, I, Y, Y","56772","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","7","30","B, U, N, Q, I, Y, Y","193192","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
"1","7","35","B, U, N, Q, I, Y, Y","237216","[UNBIRTHDAY]
U[1] N[1] B[2] I[1] R[1] T[1] H[1] D[1] A[1] Y[1] * 2 = 22","null, (x, y): = (2, 8), (x, y): = (3, 8)","22","false",
